SERIAL,HOLE,DEPTH,Depth_From,Depth_To,Sample_type
154663B,SUK7_1050_003_004_RC,25.0,17.5,20.0,RS
154663C,SUK7_1050_003_004_RC,25.0,17.5,20.0,PULP
154663E,SUK7_1050_003_004_RC,25.0,17.5,20.0,GBLANK
154663D,SUK7_1050_003_004_RC,25.0,17.5,20.0,STD003
154664,SUK7_1050_003_004_RC,25.0,20.0,22.5,Assay
154665,SUK7_1050_003_004_RC,25.0,22.5,25.0,Assay
5698,SUK7_1050_003_006_RC,21.1,0.0,2.5,Assay
5699,SUK7_1050_003_006_RC,21.1,2.5,5.0,Assay
5700,SUK7_1050_003_006_RC,21.1,5.0,7.5,Assay
5701,SUK7_1050_003_006_RC,21.1,7.5,10.0,Assay
5702,SUK7_1050_003_006_RC,21.1,10.0,12.5,Assay
5703,SUK7_1050_003_006_RC,21.1,12.5,15.0,Assay
5704,SUK7_1050_003_006_RC,21.1,15.0,17.5,Assay
5705,SUK7_1050_003_006_RC,21.1,17.5,20.0,Assay
5706,SUK7_1050_003_006_RC,21.1,20.0,21.1,Assay
263523,SUK7_1050_003_007_RC,42.0,0.0,2.5,Assay
263524,SUK7_1050_003_007_RC,42.0,2.5,5.0,Assay
263525,SUK7_1050_003_007_RC,42.0,5.0,7.5,Assay
263526,SUK7_1050_003_007_RC,42.0,7.5,10.0,Assay
263527,SUK7_1050_003_007_RC,42.0,10.0,12.5,Assay
263527A,SUK7_1050_003_007_RC,42.0,10.0,12.5,LS
263527B,SUK7_1050_003_007_RC,42.0,10.0,12.5,RS
263527C,SUK7_1050_003_007_RC,42.0,10.0,12.5,PULP
263527E,SUK7_1050_003_007_RC,42.0,10.0,12.5,GBLANK
263527D,SUK7_1050_003_007_RC,42.0,10.0,12.5,STD001
263528,SUK7_1050_003_007_RC,42.0,12.5,15.0,Assay
263529,SUK7_1050_003_007_RC,42.0,15.0,17.5,Assay
263530,SUK7_1050_003_007_RC,42.0,17.5,20.0,Assay
263531,SUK7_1050_003_007_RC,42.0,20.0,22.5,Assay
263531A,SUK7_1050_003_007_RC,42.0,20.0,22.5,LS
263531B,SUK7_1050_003_007_RC,42.0,20.0,22.5,RS
263531C,SUK7_1050_003_007_RC,42.0,20.0,22.5,PULP
263531E,SUK7_1050_003_007_RC,42.0,20.0,22.5,GBLANK
263531D,SUK7_1050_003_007_RC,42.0,20.0,22.5,STD008
263532,SUK7_1050_003_007_RC,42.0,22.5,25.0,Assay
263533,SUK7_1050_003_007_RC,42.0,25.0,27.5,Assay
263534,SUK7_1050_003_007_RC,42.0,27.5,30.0,Assay
263535,SUK7_1050_003_007_RC,42.0,30.0,32.5,Assay
263535A,SUK7_1050_003_007_RC,42.0,30.0,32.5,LS
263535B,SUK7_1050_003_007_RC,42.0,30.0,32.5,RS
263535C,SUK7_1050_003_007_RC,42.0,30.0,32.5,PULP
263535E,SUK7_1050_003_007_RC,42.0,30.0,32.5,GBLANK
263535D,SUK7_1050_003_007_RC,42.0,30.0,32.5,STD006
263536,SUK7_1050_003_007_RC,42.0,32.5,35.0,Assay
263537,SUK7_1050_003_007_RC,42.0,35.0,37.5,Assay
263537A,SUK7_1050_003_007_RC,42.0,35.0,37.5,LS
263537B,SUK7_1050_003_007_RC,42.0,35.0,37.5,RS
263537C,SUK7_1050_003_007_RC,42.0,35.0,37.5,PULP
263537E,SUK7_1050_003_007_RC,42.0,35.0,37.5,GBLANK
263537D,SUK7_1050_003_007_RC,42.0,35.0,37.5,STD007
263538,SUK7_1050_003_007_RC,42.0,37.5,40.0,Assay
263538A,SUK7_1050_003_007_RC,42.0,37.5,40.0,LS
263538B,SUK7_1050_003_007_RC,42.0,37.5,40.0,RS
263538C,SUK7_1050_003_007_RC,42.0,37.5,40.0,PULP
263538E,SUK7_1050_003_007_RC,42.0,37.5,40.0,GBLANK
263538D,SUK7_1050_003_007_RC,42.0,37.5,40.0,STD002
263539,SUK7_1050_003_007_RC,42.0,40.0,42.0,Assay
656615,SUK7_1050_003_008_RC,42.5,0.0,2.5,Assay
656616,SUK7_1050_003_008_RC,42.5,2.5,5.0,Assay
656617,SUK7_1050_003_008_RC,42.5,5.0,7.5,Assay
656618,SUK7_1050_003_008_RC,42.5,7.5,10.0,Assay
656619,SUK7_1050_003_008_RC,42.5,10.0,12.5,Assay
656619A,SUK7_1050_003_008_RC,42.5,10.0,12.5,LS
656619B,SUK7_1050_003_008_RC,42.5,10.0,12.5,RS
656619C,SUK7_1050_003_008_RC,42.5,10.0,12.5,PULP
656619E,SUK7_1050_003_008_RC,42.5,10.0,12.5,GBLANK
656619D,SUK7_1050_003_008_RC,42.5,10.0,12.5,STD001
656620,SUK7_1050_003_008_RC,42.5,12.5,15.0,Assay
656621,SUK7_1050_003_008_RC,42.5,15.0,17.5,Assay
656622,SUK7_1050_003_008_RC,42.5,17.5,20.0,Assay
656623,SUK7_1050_003_008_RC,42.5,20.0,22.5,Assay
656623A,SUK7_1050_003_008_RC,42.5,20.0,22.5,LS
656623B,SUK7_1050_003_008_RC,42.5,20.0,22.5,RS
656623C,SUK7_1050_003_008_RC,42.5,20.0,22.5,PULP
656623E,SUK7_1050_003_008_RC,42.5,20.0,22.5,GBLANK
656623D,SUK7_1050_003_008_RC,42.5,20.0,22.5,STD008
656624,SUK7_1050_003_008_RC,42.5,22.5,25.0,Assay
656625,SUK7_1050_003_008_RC,42.5,25.0,27.5,Assay
656626,SUK7_1050_003_008_RC,42.5,27.5,30.0,Assay
656627,SUK7_1050_003_008_RC,42.5,30.0,32.5,Assay
656627A,SUK7_1050_003_008_RC,42.5,30.0,32.5,LS
656627B,SUK7_1050_003_008_RC,42.5,30.0,32.5,RS
656627C,SUK7_1050_003_008_RC,42.5,30.0,32.5,PULP
656627E,SUK7_1050_003_008_RC,42.5,30.0,32.5,GBLANK
656627D,SUK7_1050_003_008_RC,42.5,30.0,32.5,STD006
656628,SUK7_1050_003_008_RC,42.5,32.5,35.0,Assay
656629,SUK7_1050_003_008_RC,42.5,35.0,37.5,Assay
656629A,SUK7_1050_003_008_RC,42.5,35.0,37.5,LS
656629B,SUK7_1050_003_008_RC,42.5,35.0,37.5,RS
656629C,SUK7_1050_003_008_RC,42.5,35.0,37.5,PULP
656629E,SUK7_1050_003_008_RC,42.5,35.0,37.5,GBLANK
656629D,SUK7_1050_003_008_RC,42.5,35.0,37.5,STD007
656630,SUK7_1050_003_008_RC,42.5,37.5,40.0,Assay
656630A,SUK7_1050_003_008_RC,42.5,37.5,40.0,LS
656630B,SUK7_1050_003_008_RC,42.5,37.5,40.0,RS
656630C,SUK7_1050_003_008_RC,42.5,37.5,40.0,PULP
656630E,SUK7_1050_003_008_RC,42.5,37.5,40.0,GBLANK
656630D,SUK7_1050_003_008_RC,42.5,37.5,40.0,STD002
656631,SUK7_1050_003_008_RC,42.5,40.0,42.5,Assay
65547,SUK7_1050_003_009_RC,15.7,0.0,2.5,Assay
65548,SUK7_1050_003_009_RC,15.7,2.5,5.0,Assay
65549,SUK7_1050_003_009_RC,15.7,5.0,7.5,Assay
65550,SUK7_1050_003_009_RC,15.7,7.5,10.0,Assay
65551,SUK7_1050_003_009_RC,15.7,10.0,12.5,Assay
65552,SUK7_1050_003_009_RC,15.7,12.5,15.0,Assay
65552A,SUK7_1050_003_009_RC,15.7,12.5,15.0,LS
65552B,SUK7_1050_003_009_RC,15.7,12.5,15.0,RS
65552C,SUK7_1050_003_009_RC,15.7,12.5,15.0,PULP
65552E,SUK7_1050_003_009_RC,15.7,12.5,15.0,GBLANK
65552D,SUK7_1050_003_009_RC,15.7,12.5,15.0,STD002
65553,SUK7_1050_003_009_RC,15.7,15.0,15.7,Assay
